home_loc_cd,trv_idx,age_cd,loc_type,home_loc_nm,sex_cd,yw,id_cnt,date
11,0.07527446748615933,10,sido,서울특별시,1,202206,159855,2022-02-05T00:00:00+09:00
11,0.11605994746337497,30,sido,서울특별시,1,202206,308737,2022-02-05T00:00:00+09:00
11,0.049257070736044975,70,sido,서울특별시,1,202206,174310,2022-02-05T00:00:00+09:00
11,0.13205573027221723,50,sido,서울특별시,1,202206,332602,2022-02-05T00:00:00+09:00
11,0.11851941966650839,20,sido,서울특별시,1,202206,254819,2022-02-05T00:00:00+09:00
11,0.06321931589537223,0,sido,서울특별시,1,202206,24850,2022-02-05T00:00:00+09:00
11,0.10539442716424043,60,sido,서울특별시,1,202206,277453,2022-02-05T00:00:00+09:00
11,0.12786176594945728,40,sido,서울특별시,1,202206,338209,2022-02-05T00:00:00+09:00
26,0.1302870533099004,20,sido,부산광역시,1,202206,68280,2022-02-05T00:00:00+09:00
26,0.05838317650196198,10,sido,부산광역시,1,202206,52498,2022-02-05T00:00:00+09:00
26,0.10151280477707317,60,sido,부산광역시,1,202206,102657,2022-02-05T00:00:00+09:00
26,0.044500648300811574,70,sido,부산광역시,1,202206,62471,2022-02-05T00:00:00+09:00
26,0.13016970861351265,30,sido,부산광역시,1,202206,78075,2022-02-05T00:00:00+09:00
26,0.04032553035844916,0,sido,부산광역시,1,202206,10936,2022-02-05T00:00:00+09:00
26,0.12986187978247268,50,sido,부산광역시,1,202206,103895,2022-02-05T00:00:00+09:00
26,0.13055126020624244,40,sido,부산광역시,1,202206,101531,2022-02-05T00:00:00+09:00
27,0.12657682214080151,60,sido,대구광역시,1,202206,78877,2022-02-05T00:00:00+09:00
27,0.16676736199440345,20,sido,대구광역시,1,202206,62896,2022-02-05T00:00:00+09:00
27,0.16770362852068002,50,sido,대구광역시,1,202206,98525,2022-02-05T00:00:00+09:00
27,0.0851628141092655,10,sido,대구광역시,1,202206,51654,2022-02-05T00:00:00+09:00
27,0.05643065743785499,70,sido,대구광역시,1,202206,43487,2022-02-05T00:00:00+09:00
27,0.16812854611249273,30,sido,대구광역시,1,202206,67151,2022-02-05T00:00:00+09:00
27,0.06585102554875855,0,sido,대구광역시,1,202206,11116,2022-02-05T00:00:00+09:00
27,0.16722939424031777,40,sido,대구광역시,1,202206,90630,2022-02-05T00:00:00+09:00
28,0.10480252996984629,60,sido,인천광역시,1,202206,81582,2022-02-05T00:00:00+09:00
28,0.07687302472578546,10,sido,인천광역시,1,202206,53790,2022-02-05T00:00:00+09:00
28,0.13898232996945442,50,sido,인천광역시,1,202206,103452,2022-02-05T00:00:00+09:00
28,0.12487115519636695,20,sido,인천광역시,1,202206,66941,2022-02-05T00:00:00+09:00
28,0.07012596352697875,0,sido,인천광역시,1,202206,10638,2022-02-05T00:00:00+09:00
28,0.12970245603620983,30,sido,인천광역시,1,202206,80862,2022-02-05T00:00:00+09:00
28,0.046429208842201884,70,sido,인천광역시,1,202206,39221,2022-02-05T00:00:00+09:00
28,0.14462079452575555,40,sido,인천광역시,1,202206,105220,2022-02-05T00:00:00+09:00
29,0.05501646161843701,70,sido,광주광역시,1,202206,23084,2022-02-05T00:00:00+09:00
29,0.18104990005961358,40,sido,광주광역시,1,202206,57034,2022-02-05T00:00:00+09:00
29,0.17608320798327035,50,sido,광주광역시,1,202206,54514,2022-02-05T00:00:00+09:00
29,0.16946802151823073,20,sido,광주광역시,1,202206,41825,2022-02-05T00:00:00+09:00
29,0.0883881645808531,10,sido,광주광역시,1,202206,34439,2022-02-05T00:00:00+09:00
29,0.07489239598278336,0,sido,광주광역시,1,202206,6970,2022-02-05T00:00:00+09:00
29,0.17601271592529394,30,sido,광주광역시,1,202206,42781,2022-02-05T00:00:00+09:00
29,0.13060776862455048,60,sido,광주광역시,1,202206,39209,2022-02-05T00:00:00+09:00
30,0.19872586621595267,40,sido,대전광역시,1,202206,46149,2022-02-05T00:00:00+09:00
30,0.09615156429221215,10,sido,대전광역시,1,202206,25283,2022-02-05T00:00:00+09:00
30,0.14358715184186882,60,sido,대전광역시,1,202206,35616,2022-02-05T00:00:00+09:00
30,0.1958673070479169,50,sido,대전광역시,1,202206,44765,2022-02-05T00:00:00+09:00
30,0.06223043746149107,0,sido,대전광역시,1,202206,4869,2022-02-05T00:00:00+09:00
30,0.1926519743923857,20,sido,대전광역시,1,202206,35302,2022-02-05T00:00:00+09:00
30,0.06516505269916002,70,sido,대전광역시,1,202206,18691,2022-02-05T00:00:00+09:00
30,0.19439613001413197,30,sido,대전광역시,1,202206,36796,2022-02-05T00:00:00+09:00
31,0.11064962937938436,50,sido,울산광역시,1,202206,50321,2022-02-05T00:00:00+09:00
31,0.10993234932349323,40,sido,울산광역시,1,202206,45528,2022-02-05T00:00:00+09:00
31,0.08951615094134587,60,sido,울산광역시,1,202206,36809,2022-02-05T00:00:00+09:00
31,0.06197277207049194,10,sido,울산광역시,1,202206,23946,2022-02-05T00:00:00+09:00
31,0.03965436398955054,70,sido,울산광역시,1,202206,14929,2022-02-05T00:00:00+09:00
31,0.11181967791230751,30,sido,울산광역시,1,202206,34028,2022-02-05T00:00:00+09:00
31,0.13066316480630336,20,sido,울산광역시,1,202206,27414,2022-02-05T00:00:00+09:00
31,0.049657869012707724,0,sido,울산광역시,1,202206,5115,2022-02-05T00:00:00+09:00
36,0.23667341430499325,30,sido,세종특별자치시,1,202206,11856,2022-02-05T00:00:00+09:00
36,0.2074919927586687,20,sido,세종특별자치시,1,202206,7181,2022-02-05T00:00:00+09:00
36,0.1163833805476865,10,sido,세종특별자치시,1,202206,8472,2022-02-05T00:00:00+09:00
36,0.24860388985172346,40,sido,세종특별자치시,1,202206,15579,2022-02-05T00:00:00+09:00
36,0.23748792270531402,50,sido,세종특별자치시,1,202206,10350,2022-02-05T00:00:00+09:00
36,0.07462039045553145,0,sido,세종특별자치시,1,202206,2305,2022-02-05T00:00:00+09:00
36,0.093887200270179,70,sido,세종특별자치시,1,202206,2961,2022-02-05T00:00:00+09:00
36,0.17743403093721566,60,sido,세종특별자치시,1,202206,6594,2022-02-05T00:00:00+09:00
41,0.12009481247085077,20,sido,경기도,1,202206,338774,2022-02-05T00:00:00+09:00
41,0.1291143739643667,30,sido,경기도,1,202206,399514,2022-02-05T00:00:00+09:00
41,0.11326748605831923,60,sido,경기도,1,202206,360430,2022-02-05T00:00:00+09:00
41,0.14774587595385777,40,sido,경기도,1,202206,526546,2022-02-05T00:00:00+09:00
41,0.1445198013806467,50,sido,경기도,1,202206,495420,2022-02-05T00:00:00+09:00
41,0.05103066318560676,70,sido,경기도,1,202206,183086,2022-02-05T00:00:00+09:00
41,0.07657700775342204,0,sido,경기도,1,202206,52235,2022-02-05T00:00:00+09:00
41,0.08329902095342666,10,sido,경기도,1,202206,262296,2022-02-05T00:00:00+09:00
42,0.20433473570873129,40,sido,강원도,1,202206,50153,2022-02-05T00:00:00+09:00
42,0.07659134034845609,70,sido,강원도,1,202206,28985,2022-02-05T00:00:00+09:00
42,0.10333391516844126,0,sido,강원도,1,202206,5729,2022-02-05T00:00:00+09:00
42,0.1508481421647819,60,sido,강원도,1,202206,54472,2022-02-05T00:00:00+09:00
42,0.17035314298909726,20,sido,강원도,1,202206,60627,2022-02-05T00:00:00+09:00
42,0.18900052882072976,50,sido,강원도,1,202206,56730,2022-02-05T00:00:00+09:00
42,0.12194380656490612,10,sido,강원도,1,202206,29612,2022-02-05T00:00:00+09:00
42,0.2196061395887634,30,sido,강원도,1,202206,34530,2022-02-05T00:00:00+09:00
43,0.09177304964539007,0,sido,충청북도,1,202206,7050,2022-02-05T00:00:00+09:00
43,0.18627514495805125,50,sido,충청북도,1,202206,61742,2022-02-05T00:00:00+09:00
43,0.1919612078871168,30,sido,충청북도,1,202206,43514,2022-02-05T00:00:00+09:00
43,0.19062515039222291,20,sido,충청북도,1,202206,41558,2022-02-05T00:00:00+09:00
43,0.07441485068603712,70,sido,충청북도,1,202206,24780,2022-02-05T00:00:00+09:00
43,0.1033517713683656,10,sido,충청북도,1,202206,30372,2022-02-05T00:00:00+09:00
43,0.1485864436687253,60,sido,충청북도,1,202206,52138,2022-02-05T00:00:00+09:00
43,0.18401713569239342,40,sido,충청북도,1,202206,57424,2022-02-05T00:00:00+09:00
44,0.14208321057972437,60,sido,충청남도,1,202206,61098,2022-02-05T00:00:00+09:00
44,0.09946814529817812,0,sido,충청남도,1,202206,8837,2022-02-05T00:00:00+09:00
44,0.17134304673975764,40,sido,충청남도,1,202206,83184,2022-02-05T00:00:00+09:00
44,0.07628032345013477,70,sido,충청남도,1,202206,33390,2022-02-05T00:00:00+09:00
44,0.1700462241744771,50,sido,충청남도,1,202206,78314,2022-02-05T00:00:00+09:00
44,0.17670414840226162,30,sido,충청남도,1,202206,62964,2022-02-05T00:00:00+09:00
44,0.19027897968434498,20,sido,충청남도,1,202206,48534,2022-02-05T00:00:00+09:00
44,0.10505770536320434,10,sido,충청남도,1,202206,41244,2022-02-05T00:00:00+09:00
45,0.17886082336529044,20,sido,전라북도,1,202206,33691,2022-02-05T00:00:00+09:00
45,0.1680094945172506,50,sido,전라북도,1,202206,59824,2022-02-05T00:00:00+09:00
45,0.16529837251356239,40,sido,전라북도,1,202206,55300,2022-02-05T00:00:00+09:00
45,0.08727272727272728,10,sido,전라북도,1,202206,30800,2022-02-05T00:00:00+09:00
45,0.13102447038147816,60,sido,전라북도,1,202206,52349,2022-02-05T00:00:00+09:00
45,0.06880189798339265,0,sido,전라북도,1,202206,5901,2022-02-05T00:00:00+09:00
45,0.16969561199630365,30,sido,전라북도,1,202206,35711,2022-02-05T00:00:00+09:00
45,0.05970498028333577,70,sido,전라북도,1,202206,34235,2022-02-05T00:00:00+09:00
46,0.08092824753267538,10,sido,전라남도,1,202206,37490,2022-02-05T00:00:00+09:00
46,0.05424616535727647,0,sido,전라남도,1,202206,8019,2022-02-05T00:00:00+09:00
46,0.1138697557921102,60,sido,전라남도,1,202206,63880,2022-02-05T00:00:00+09:00
46,0.18804559926055253,20,sido,전라남도,1,202206,38948,2022-02-05T00:00:00+09:00
46,0.1543775508583589,40,sido,전라남도,1,202206,62969,2022-02-05T00:00:00+09:00
46,0.1504448245230235,50,sido,전라남도,1,202206,75423,2022-02-05T00:00:00+09:00
46,0.05617055208968526,70,sido,전라남도,1,202206,42638,2022-02-05T00:00:00+09:00
46,0.1680591968245412,30,sido,전라남도,1,202206,40813,2022-02-05T00:00:00+09:00
47,0.16868232475077424,40,sido,경상북도,1,202206,88474,2022-02-05T00:00:00+09:00
47,0.1625520003110299,50,sido,경상북도,1,202206,102884,2022-02-05T00:00:00+09:00
47,0.19197381777451084,20,sido,경상북도,1,202206,57138,2022-02-05T00:00:00+09:00
47,0.12346261026253483,60,sido,경상북도,1,202206,95454,2022-02-05T00:00:00+09:00
47,0.09962858228168657,10,sido,경상북도,1,202206,47386,2022-02-05T00:00:00+09:00
47,0.17787894932274262,30,sido,경상북도,1,202206,61941,2022-02-05T00:00:00+09:00
47,0.07774509803921568,0,sido,경상북도,1,202206,10200,2022-02-05T00:00:00+09:00
47,0.06278345760627257,70,sido,경상북도,1,202206,52036,2022-02-05T00:00:00+09:00
48,0.054609634551495013,0,sido,경상남도,1,202206,14448,2022-02-05T00:00:00+09:00
48,0.1498663477771525,30,sido,경상남도,1,202206,85296,2022-02-05T00:00:00+09:00
48,0.143250049970018,40,sido,경상남도,1,202206,125075,2022-02-05T00:00:00+09:00
48,0.164006679624408,20,sido,경상남도,1,202206,73058,2022-02-05T00:00:00+09:00
48,0.11201007964721235,60,sido,경상남도,1,202206,111115,2022-02-05T00:00:00+09:00
48,0.14373935423842005,50,sido,경상남도,1,202206,133269,2022-02-05T00:00:00+09:00
48,0.05463059313215401,70,sido,경상남도,1,202206,55738,2022-02-05T00:00:00+09:00
