home_loc_cd,trv_idx,age_cd,loc_type,home_loc_nm,sex_cd,yw,id_cnt,date
11,0.0752744674861593,10,sido,서울특별시,1,202206,159855,2022-02-05T00:00:00+09:00
11,0.1160599474633749,30,sido,서울특별시,1,202206,308737,2022-02-05T00:00:00+09:00
11,0.0492570707360449,70,sido,서울특별시,1,202206,174310,2022-02-05T00:00:00+09:00
11,0.1320557302722172,50,sido,서울특별시,1,202206,332602,2022-02-05T00:00:00+09:00
11,0.1185194196665083,20,sido,서울특별시,1,202206,254819,2022-02-05T00:00:00+09:00
11,0.0632193158953722,0,sido,서울특별시,1,202206,24850,2022-02-05T00:00:00+09:00
11,0.1053944271642404,60,sido,서울특별시,1,202206,277453,2022-02-05T00:00:00+09:00
11,0.1278617659494572,40,sido,서울특별시,1,202206,338209,2022-02-05T00:00:00+09:00
11,0.0821158497214835,40,sido,서울특별시,2,202206,365508,2022-02-05T00:00:00+09:00
11,0.0901845955575771,30,sido,서울특별시,2,202206,316584,2022-02-05T00:00:00+09:00
11,0.0344788188187148,70,sido,서울특별시,2,202206,192553,2022-02-05T00:00:00+09:00
11,0.1174536677394295,20,sido,서울특별시,2,202206,288352,2022-02-05T00:00:00+09:00
11,0.0885056180098909,50,sido,서울특별시,2,202206,347187,2022-02-05T00:00:00+09:00
11,0.064922719431046,0,sido,서울특별시,2,202206,28403,2022-02-05T00:00:00+09:00
11,0.070713718088805,10,sido,서울특별시,2,202206,161072,2022-02-05T00:00:00+09:00
11,0.0673890460436943,60,sido,서울특별시,2,202206,312855,2022-02-05T00:00:00+09:00
11,0.1231415316808335,40,sido,서울특별시,1,202210,336702,2022-03-05T00:00:00+09:00
11,0.1128294567325716,30,sido,서울특별시,1,202210,306755,2022-03-05T00:00:00+09:00
11,0.1380785333018279,50,sido,서울특별시,1,202210,330102,2022-03-05T00:00:00+09:00
11,0.1120324297740619,60,sido,서울특별시,1,202210,276536,2022-03-05T00:00:00+09:00
11,0.0337835146010119,0,sido,서울특별시,1,202210,25101,2022-03-05T00:00:00+09:00
11,0.1008417166012172,20,sido,서울특별시,1,202210,255668,2022-03-05T00:00:00+09:00
11,0.0523117674476768,70,sido,서울특별시,1,202210,175926,2022-03-05T00:00:00+09:00
11,0.0471336244110609,10,sido,서울특별시,1,202210,162156,2022-03-05T00:00:00+09:00
11,0.1025400355720606,20,sido,서울특별시,2,202210,294051,2022-03-05T00:00:00+09:00
11,0.08578926184281,30,sido,서울특별시,2,202210,315529,2022-03-05T00:00:00+09:00
11,0.068018252437043,60,sido,서울특별시,2,202210,315136,2022-03-05T00:00:00+09:00
11,0.0659648566492444,40,sido,서울특별시,2,202210,365816,2022-03-05T00:00:00+09:00
11,0.0370849805828639,0,sido,서울특별시,2,202210,28583,2022-03-05T00:00:00+09:00
11,0.0854637644458768,50,sido,서울특별시,2,202210,347504,2022-03-05T00:00:00+09:00
11,0.048612538540596,10,sido,서울특별시,2,202210,165410,2022-03-05T00:00:00+09:00
11,0.0330629207624714,70,sido,서울특별시,2,202210,195627,2022-03-05T00:00:00+09:00
11,0.2203466886621506,30,sido,서울특별시,1,202204,307942,2022-01-22T00:00:00+09:00
11,0.1823609917565804,10,sido,서울특별시,1,202204,157095,2022-01-22T00:00:00+09:00
11,0.2203457383524484,40,sido,서울특별시,1,202204,336208,2022-01-22T00:00:00+09:00
11,0.0492517023098713,70,sido,서울특별시,1,202204,166979,2022-01-22T00:00:00+09:00
11,0.2168554897002059,20,sido,서울특별시,1,202204,255442,2022-01-22T00:00:00+09:00
11,0.1654484231274638,0,sido,서울특별시,1,202204,24352,2022-01-22T00:00:00+09:00
11,0.1142300654268577,60,sido,서울특별시,1,202204,271601,2022-01-22T00:00:00+09:00
11,0.182159122168903,50,sido,서울특별시,1,202204,327170,2022-01-22T00:00:00+09:00
11,0.2347517851360793,20,sido,서울특별시,2,202204,293395,2022-01-22T00:00:00+09:00
11,0.1780248937179132,40,sido,서울특별시,2,202204,364831,2022-01-22T00:00:00+09:00
11,0.036737337915436,70,sido,서울특별시,2,202204,182158,2022-01-22T00:00:00+09:00
11,0.1808181752821913,0,sido,서울특별시,2,202204,27818,2022-01-22T00:00:00+09:00
11,0.1783599273630412,10,sido,서울특별시,2,202204,160249,2022-01-22T00:00:00+09:00
11,0.1272359359304301,50,sido,서울특별시,2,202204,345437,2022-01-22T00:00:00+09:00
11,0.072975548410517,60,sido,서울특별시,2,202204,308528,2022-01-22T00:00:00+09:00
11,0.2072107192484956,30,sido,서울특별시,2,202204,318082,2022-01-22T00:00:00+09:00
11,0.1474703884221095,50,sido,서울특별시,1,202208,327659,2022-02-19T00:00:00+09:00
11,0.1332905315782441,30,sido,서울특별시,1,202208,306841,2022-02-19T00:00:00+09:00
11,0.0941989979710985,0,sido,서울특별시,1,202208,24151,2022-02-19T00:00:00+09:00
11,0.0992456120398802,10,sido,서울특별시,1,202208,158274,2022-02-19T00:00:00+09:00
11,0.1274357235534614,20,sido,서울특별시,1,202208,255109,2022-02-19T00:00:00+09:00
11,0.110286362970558,60,sido,서울특별시,1,202208,273080,2022-02-19T00:00:00+09:00
11,0.1532775133166211,40,sido,서울특별시,1,202208,335483,2022-02-19T00:00:00+09:00
11,0.0522676893846099,70,sido,서울특별시,1,202208,170526,2022-02-19T00:00:00+09:00
11,0.1090303992280257,40,sido,서울특별시,2,202208,364779,2022-02-19T00:00:00+09:00
11,0.1025112172528586,0,sido,서울특별시,2,202208,27636,2022-02-19T00:00:00+09:00
11,0.1367126759598589,20,sido,서울특별시,2,202208,291970,2022-02-19T00:00:00+09:00
11,0.1148921120026778,30,sido,서울특별시,2,202208,316671,2022-02-19T00:00:00+09:00
11,0.0745326839931208,60,sido,서울특별시,2,202208,311085,2022-02-19T00:00:00+09:00
11,0.1000953704800314,10,sido,서울특별시,2,202208,160427,2022-02-19T00:00:00+09:00
11,0.0367521230828282,70,sido,서울특별시,2,202208,187581,2022-02-19T00:00:00+09:00
11,0.0997116972271461,50,sido,서울특별시,2,202208,345817,2022-02-19T00:00:00+09:00
11,0.1163050604994933,40,sido,서울특별시,1,202211,335540,2022-03-12T00:00:00+09:00
11,0.1071104872406493,30,sido,서울특별시,1,202211,305619,2022-03-12T00:00:00+09:00
11,0.129585564751704,50,sido,서울특별시,1,202211,328640,2022-03-12T00:00:00+09:00
11,0.1091203076519687,60,sido,서울특별시,1,202211,274596,2022-03-12T00:00:00+09:00
11,0.031630568042501,0,sido,서울특별시,1,202211,24470,2022-03-12T00:00:00+09:00
11,0.0848066678461205,20,sido,서울특별시,1,202211,254355,2022-03-12T00:00:00+09:00
11,0.0322472162020775,10,sido,서울특별시,1,202211,160572,2022-03-12T00:00:00+09:00
11,0.0533698235338551,70,sido,서울특별시,1,202211,172101,2022-03-12T00:00:00+09:00
11,0.0318987889273356,0,sido,서울특별시,2,202211,27744,2022-03-12T00:00:00+09:00
11,0.0653809218950064,60,sido,서울특별시,2,202211,312400,2022-03-12T00:00:00+09:00
11,0.0807207040510691,50,sido,서울특별시,2,202211,345884,2022-03-12T00:00:00+09:00
11,0.0326083513698991,70,sido,서울특별시,2,202211,189430,2022-03-12T00:00:00+09:00
11,0.078021876659913,30,sido,서울특별시,2,202211,314399,2022-03-12T00:00:00+09:00
11,0.0597750824725023,40,sido,서울특별시,2,202211,364667,2022-03-12T00:00:00+09:00
11,0.0868625462071031,20,sido,서울특별시,2,202211,293786,2022-03-12T00:00:00+09:00
11,0.0328092877010521,10,sido,서울특별시,2,202211,165380,2022-03-12T00:00:00+09:00
11,0.117387706550128,30,sido,서울특별시,1,202201,309368,2022-01-01T00:00:00+09:00
11,0.1242714790304407,50,sido,서울특별시,1,202201,329263,2022-01-01T00:00:00+09:00
