user_id,departure_address,latitude,longitude,arrival_datetime,num_passenger,num_luggage
1,강북구 수유1동,37.6399,127.019,2024-12-13 06:45:49.469766,2,2
2,서초구 잠원동,37.512,127.0107,2025-02-09 04:59:25.861313,1,1
3,마포구 상암동,37.5796,126.8903,2025-02-27 04:45:49.237064,2,2
4,영등포구 여의도동,37.5245,126.9275,2024-12-27 14:40:03.944164,2,3
5,서대문구 홍제동,37.5892,126.9441,2024-12-27 16:37:29.554884,1,1
6,성동구 성수동1가,37.5477,127.0422,2024-12-14 02:15:23.396115,3,3
7,영등포구 여의도동,37.5245,126.9275,2025-02-05 11:59:09.837399,3,4
8,성북구 정릉동,37.6063,127.0106,2025-01-10 10:54:18.700234,3,3
9,중랑구 신내동,37.6126,127.1035,2025-01-14 13:30:19.827259,2,3
10,종로구 청운동,37.5866,126.9697,2024-12-12 20:52:30.155434,3,4
11,동대문구 휘경동,37.5945,127.0663,2024-12-24 15:33:33.803731,2,3
12,마포구 상암동,37.5796,126.8903,2025-01-01 21:01:41.841598,3,3
13,중랑구 면목동,37.5873,127.0887,2025-01-30 12:37:48.978939,3,4
14,강동구 둔촌동,37.5266,127.1365,2024-12-04 11:20:35.122077,3,3
15,성동구 성수동1가,37.5477,127.0422,2025-02-04 23:41:04.521672,2,3
16,광진구 화양동,37.5454,127.0676,2025-02-12 10:41:15.057700,2,2
17,강북구 수유동,37.6394,127.0251,2024-12-02 17:44:33.266357,3,4
18,종로구 청운동,37.5866,126.9697,2025-01-15 17:25:33.262260,2,3
19,강남구 삼성동,37.5145,127.0593,2025-01-06 23:17:45.081574,1,2
20,강남구 역삼동,37.4987,127.0367,2025-02-05 21:01:26.645821,3,4
21,동작구 사당동,37.4792,126.9808,2025-01-21 04:36:55.417438,3,4
22,송파구 문정동,37.489,127.1215,2025-02-10 17:13:52.341463,1,1
23,종로구 무악동,37.5775,126.9573,2024-12-05 07:34:50.347687,2,2
24,관악구 난곡동,37.4751,126.9205,2024-12-25 11:12:18.433611,1,2
25,중구 소공동,37.5641,126.9753,2024-12-02 12:00:30.182264,1,2
26,송파구 문정동,37.489,127.1215,2025-01-26 06:31:56.148608,1,1
27,강동구 암사동,37.5506,127.1319,2025-02-04 06:50:58.280286,3,4
28,강서구 등촌동,37.5585,126.8627,2025-02-24 07:51:43.412459,2,2
29,구로구 개봉동,37.4972,126.8588,2025-01-23 10:19:12.368333,1,1
30,광진구 자양동,37.5322,127.0745,2024-12-17 07:37:52.908205,3,3
31,동대문구 휘경동,37.5945,127.0663,2025-02-08 02:58:21.407609,2,2
32,동대문구 장안동,37.5746,127.0727,2024-12-27 15:06:45.835169,3,3
33,동작구 흑석동,37.5084,126.9638,2025-02-10 14:09:26.856436,1,1
34,중구 소공동,37.5641,126.9753,2024-12-30 23:18:18.290326,1,1
35,종로구 혜화동,37.5823,127.0018,2024-12-20 12:21:25.359033,1,1
36,금천구 시흥동,37.4494,126.9034,2025-02-18 06:16:35.481933,2,3
37,은평구 진관동,37.643,126.9184,2024-12-20 09:05:28.949363,1,1
38,중구 명동,37.5634,126.9862,2025-02-22 04:55:45.247520,3,3
39,강서구 화곡동,37.541,126.837,2025-02-14 22:58:19.006297,2,2
40,은평구 진관동,37.643,126.9184,2025-01-29 13:01:59.774011,2,2
41,강북구 수유동,37.6394,127.0251,2025-02-02 18:28:03.076633,2,3
42,송파구 방이동,37.514,127.1251,2025-02-10 18:22:35.326646,2,2
43,동대문구 용두동,37.5749,127.0389,2025-01-29 11:53:22.760980,3,3
44,용산구 한남동,37.5345,127.0005,2024-12-04 08:56:51.823030,2,3
45,광진구 자양동,37.5322,127.0745,2025-02-23 14:50:23.131984,1,2
46,노원구 중계동,37.6481,127.0,2024-12-24 20:09:44.575915,2,3
47,동작구 흑석동,37.5084,126.9638,2025-01-14 21:22:38.148202,2,2
48,동작구 사당동,37.4792,126.9808,2024-12-28 04:46:30.853960,3,3
49,중구 약수동,37.5549,127.0109,2024-12-19 13:50:56.728371,3,3
50,성동구 행당동,37.5583,127.0298,2025-02-23 20:07:27.866241,1,2
51,은평구 진관동,37.643,126.9184,2024-12-30 00:27:35.085297,1,1
52,양천구 목5동,37.5483,126.8664,2025-02-17 22:34:35.338115,1,2
53,양천구 신정동,37.5206,126.8563,2025-01-16 21:23:04.352809,2,2
54,노원구 중계동,37.6481,127.0,2024-12-17 13:43:49.225657,3,4
55,동작구 사당동,37.4792,126.9808,2024-12-22 00:19:31.489727,1,2
56,성동구 성수동1가,37.5477,127.0422,2025-02-19 21:53:26.910575,1,2
57,종로구 무악동,37.5775,126.9573,2024-12-11 19:27:43.046174,2,2
58,영등포구 당산동,37.5341,126.9021,2024-12-02 22:05:14.072095,1,1
59,동작구 흑석동,37.5084,126.9638,2025-01-30 08:42:39.632978,1,1
60,은평구 진관동,37.643,126.9184,2025-01-18 15:18:34.905503,3,4
61,광진구 광장동,37.545,127.104,2025-02-05 01:29:12.653146,3,3
62,강북구 수유동,37.6394,127.0251,2024-12-26 03:37:20.399310,3,3
63,중구 신당동,37.561,127.0182,2025-02-04 15:37:51.056499,3,3
64,광진구 광장동,37.545,127.104,2024-12-10 15:38:46.489657,3,4
65,관악구 신림동,37.4846,126.9304,2025-02-14 10:11:01.403643,3,3
66,동작구 사당동,37.4792,126.9808,2024-12-07 23:51:49.948675,1,1
67,강서구 방화동,37.5777,126.8125,2024-12-14 07:19:47.420384,1,2
68,종로구 무악동,37.5775,126.9573,2024-12-10 07:26:42.584721,2,3
69,동대문구 휘경동,37.5945,127.0663,2025-02-22 01:12:10.633164,2,2
70,성북구 길음동,37.6075,127.0233,2025-02-13 00:25:14.534032,1,2
71,강서구 가양동,37.5618,126.8545,2025-02-21 10:01:27.194571,3,3
72,양천구 목동,37.5442,126.8667,2025-02-14 05:53:48.585339,2,2
73,강서구 방화동,37.5777,126.8125,2025-01-12 08:33:53.754653,2,3
74,중구 을지로동,37.5665,126.9928,2025-02-15 19:37:59.289847,3,3
75,금천구 독산1동,37.4683,126.899,2025-02-18 17:52:03.341681,1,1
76,노원구 하계동,37.6397,127.0665,2025-01-18 10:59:08.682339,3,3
77,강북구 미아동,37.6267,127.0257,2025-01-04 20:45:05.339409,2,2
78,동대문구 용두동,37.5749,127.0389,2025-02-02 21:39:36.701904,2,3
79,동대문구 휘경동,37.5945,127.0663,2025-02-03 18:47:27.169047,3,3
80,강북구 번동,37.6366,127.0341,2024-12-30 07:31:23.594913,3,4
81,도봉구 쌍문동,37.6486,127.0347,2025-01-17 03:46:28.152937,1,2
82,노원구 월계동,37.6261,127.0659,2025-01-30 18:34:03.818698,2,2
83,구로구 고척동,37.5038,126.8581,2024-12-17 16:06:15.928314,1,1
84,노원구 하계동,37.6397,127.0665,2024-12-05 08:14:36.167659,3,4
85,영등포구 당산동,37.5341,126.9021,2025-02-27 07:04:53.495775,1,1
86,구로구 개봉동,37.4972,126.8588,2025-01-15 18:07:45.806592,3,4
87,도봉구 창동,37.6543,127.0479,2024-12-13 01:02:54.878158,3,3
88,양천구 신정동,37.5206,126.8563,2024-12-20 14:48:13.396409,3,3
89,용산구 이태원동,37.5347,126.9947,2025-02-11 20:57:06.493435,1,1
90,용산구 이태원동,37.5347,126.9947,2025-02-15 17:53:07.613176,2,2
91,성동구 왕십리동,37.5612,127.0376,2024-12-17 20:42:44.510515,3,4
92,송파구 방이동,37.514,127.1251,2025-02-05 03:09:18.181997,1,1
93,중랑구 상봉동,37.5963,127.0862,2025-01-31 23:47:45.547543,2,2
94,동대문구 휘경동,37.5945,127.0663,2024-12-10 07:12:08.770648,1,2
95,동대문구 휘경동,37.5945,127.0663,2024-12-17 07:50:24.190250,2,2
96,도봉구 쌍문동,37.6486,127.0347,2025-02-27 14:44:29.122300,3,3
97,노원구 월계동,37.6311,127.0587,2025-01-30 15:26:05.712681,1,2
98,서대문구 북가좌동,37.5815,126.9134,2025-01-29 22:04:49.666047,3,4
99,강동구 천호동,37.5459,127.1428,2025-02-21 06:06:14.901726,2,2
100,송파구 문정동,37.489,127.1215,2025-02-14 11:59:38.381102,2,2
101,강서구 등촌동,37.5585,126.8627,2025-02-20 10:13:33.303257,3,3
102,종로구 무악동,37.5775,126.9573,2025-01-10 04:37:12.319534,3,4
103,용산구 이태원동,37.5347,126.9947,2024-12-27 11:42:09.250213,1,2
104,송파구 문정동,37.489,127.1215,2025-02-01 06:47:24.865196,1,1
105,동대문구 청량리동,37.5802,127.0466,2025-01-07 20:08:40.531426,1,2
106,서초구 서초동,37.4837,127.0324,2025-01-24 02:07:33.465782,3,3
107,송파구 잠실동,37.5117,127.0842,2025-02-25 22:45:46.199400,3,3
108,은평구 진관동,37.643,126.9184,2025-01-11 05:39:32.117961,3,4
109,강남구 도곡동,37.4907,127.0558,2024-12-19 03:57:05.824301,1,1
110,구로구 고척동,37.5038,126.8581,2024-12-04 09:06:13.526597,1,2
111,도봉구 쌍문1동,37.6513,127.0341,2024-12-10 19:56:38.957707,3,4
112,서초구 방배동,37.4845,126.9977,2024-12-25 19:14:52.495894,1,1
113,양천구 목5동,37.5483,126.8664,2024-12-01 11:47:08.833159,3,4
114,성동구 행당동,37.5583,127.0298,2024-12-22 12:09:52.748025,3,3
115,강서구 등촌동,37.5585,126.8627,2024-12-12 19:18:22.353981,1,2
116,영등포구 여의도동,37.5245,126.9275,2025-01-27 03:37:13.540996,1,1
117,용산구 이태원동,37.5347,126.9947,2024-12-18 08:27:30.484107,3,3
118,노원구 공릉동,37.6251,127.0726,2025-02-06 18:43:54.234063,2,3
119,강동구 둔촌동,37.5266,127.1365,2025-02-02 13:18:58.206502,3,4
120,강남구 도곡동,37.4907,127.0558,2025-01-03 07:09:59.051273,1,2
121,금천구 독산1동,37.4683,126.899,2025-02-09 16:55:49.359301,1,2
122,마포구 망원동,37.5551,126.9107,2025-01-23 22:50:57.417792,2,2
123,영등포구 당산동,37.5341,126.9021,2025-01-08 13:52:11.077949,3,4
124,강서구 화곡동,37.541,126.837,2025-02-01 07:51:42.886660,2,2
125,성북구 돈암동,37.5891,127.0166,2024-12-19 09:52:42.399647,2,3
126,성동구 행당동,37.5583,127.0298,2025-02-14 19:09:18.121593,2,3
127,구로구 고척동,37.5038,126.8581,2024-12-01 10:47:35.598561,3,4
