user_id,arrival_address,latitude,longitude,date_time,num_passenger,num_luggage
1,구로구 고척동,37.5038,126.8581,2024-12-21 09:58:37.623408,1,1
2,마포구 망원동,37.5551,126.9107,2024-12-27 20:14:57.014868,3,4
3,강서구 가양동,37.5618,126.8545,2025-02-16 21:09:36.359490,2,3
4,은평구 불광동,37.6105,126.9303,2024-12-02 08:09:42.504325,2,3
5,강북구 수유1동,37.6399,127.019,2025-01-19 15:49:03.095263,1,2
6,성북구 정릉동,37.6063,127.0106,2024-12-14 20:52:48.238816,2,3
7,노원구 월계동,37.6261,127.0659,2025-02-24 08:08:02.949458,3,3
8,중랑구 신내동,37.6126,127.1035,2025-02-24 20:35:34.639423,3,4
9,마포구 망원동,37.5551,126.9107,2025-02-21 19:06:15.179086,2,3
10,구로구 오류동,37.4947,126.8441,2024-12-19 06:18:47.598495,1,1
11,중랑구 신내동,37.6126,127.1035,2025-02-03 04:42:37.061067,1,1
12,광진구 광장동,37.545,127.104,2025-01-31 05:42:16.962711,3,3
13,성동구 금호동1가,37.5497,127.0197,2025-01-02 20:08:59.792404,3,4
14,중구 소공동,37.5641,126.9753,2025-01-28 18:21:41.792916,2,3
15,강서구 등촌동,37.5585,126.8627,2024-12-18 21:56:15.100325,1,2
16,용산구 이태원동,37.5347,126.9947,2025-02-06 18:32:29.364681,3,4
17,강북구 수유1동,37.6399,127.019,2024-12-26 07:51:15.542849,3,4
18,마포구 상암동,37.5796,126.8903,2025-02-19 22:35:12.656176,2,2
19,성동구 왕십리동,37.5612,127.0376,2025-01-15 20:59:52.876165,2,3
20,영등포구 여의도동,37.5245,126.9275,2024-12-26 00:25:08.131054,3,3
21,양천구 신월동,37.5302,126.8348,2025-02-01 11:32:25.871727,3,4
22,성북구 석관동,37.6125,127.0611,2025-01-05 01:24:23.570372,3,4
23,용산구 남영동,37.5423,126.9732,2024-12-31 20:08:19.476624,3,3
24,서대문구 북가좌동,37.5815,126.9134,2025-01-21 20:11:52.573713,1,2
25,서초구 잠원동,37.512,127.0107,2025-02-11 21:13:19.850514,1,2
26,용산구 남영동,37.5423,126.9732,2025-02-09 15:15:12.232949,2,2
27,강북구 미아동,37.6267,127.0257,2025-02-19 02:06:05.770541,1,1
28,동대문구 청량리동,37.5802,127.0466,2024-12-08 07:48:51.169905,2,2
29,성북구 석관동,37.6125,127.0611,2024-12-31 14:49:00.259832,1,2
30,종로구 혜화동,37.5823,127.0018,2024-12-29 22:31:25.214900,3,3
31,도봉구 쌍문동,37.6486,127.0347,2024-12-07 21:49:14.554950,2,3
32,서대문구 북가좌동,37.5815,126.9134,2025-01-17 07:36:32.100469,2,2
33,노원구 하계동,37.6397,127.0665,2024-12-27 02:44:08.561814,1,1
34,금천구 시흥동,37.4494,126.9034,2025-02-03 13:28:58.528273,1,2
35,동대문구 장안동,37.5746,127.0727,2025-02-11 07:44:02.836772,2,2
36,용산구 용산동2가,37.5381,126.965,2025-01-22 17:18:07.703747,1,1
37,종로구 사직동,37.5795,126.9701,2025-01-28 15:33:18.830956,2,3
38,중구 을지로동,37.5665,126.9928,2025-02-27 05:37:42.733523,3,4
39,양천구 목5동,37.5483,126.8664,2025-02-14 05:55:52.890048,2,3
40,성동구 성수동1가,37.5477,127.0422,2024-12-25 19:18:40.824925,2,2
41,노원구 하계동,37.6397,127.0665,2025-02-05 22:23:47.508986,2,3
42,관악구 난곡동,37.4751,126.9205,2025-01-02 00:42:55.877065,1,1
43,금천구 독산동,37.4665,126.9025,2024-12-10 23:33:52.436031,3,3
44,서초구 방배동,37.4845,126.9977,2025-02-26 22:57:22.803511,3,4
45,금천구 가산동,37.4772,126.8868,2025-01-29 14:14:01.183825,2,3
46,종로구 무악동,37.5775,126.9573,2025-01-23 14:34:56.505278,1,1
47,강동구 천호동,37.5459,127.1428,2025-01-13 19:04:08.874827,2,2
48,중구 약수동,37.5549,127.0109,2025-02-15 12:30:04.366146,3,4
49,도봉구 쌍문동,37.6486,127.0347,2024-12-08 11:46:24.486625,3,3
50,송파구 방이동,37.514,127.1251,2024-12-27 03:18:47.622508,1,2
51,노원구 하계동,37.6397,127.0665,2025-02-25 21:11:53.664385,3,4
52,은평구 녹번동,37.6009,126.9351,2025-02-14 04:37:56.548978,2,3
53,양천구 목5동,37.5483,126.8664,2025-02-11 04:14:11.210809,2,3
54,용산구 이태원동,37.5347,126.9947,2025-01-10 17:14:04.568593,1,1
55,성북구 정릉동,37.6063,127.0106,2024-12-02 19:35:26.491521,2,3
56,강서구 방화동,37.5777,126.8125,2025-02-04 05:04:01.802403,3,4
57,중랑구 신내동,37.6126,127.1035,2024-12-01 03:44:08.566729,2,2
58,관악구 신림동,37.4846,126.9304,2025-01-27 20:34:20.176438,2,3
59,은평구 녹번동,37.6009,126.9351,2025-01-25 02:26:05.635289,3,3
60,중랑구 묵동,37.6121,127.0761,2025-01-09 09:52:20.815744,2,3
61,노원구 공릉동,37.6251,127.0726,2025-01-06 17:23:57.314291,3,3
62,은평구 불광동,37.6105,126.9303,2024-12-07 15:45:06.201478,3,4
63,양천구 신월동,37.5302,126.8348,2025-02-15 17:04:13.298770,2,2
64,동대문구 휘경동,37.5945,127.0663,2025-01-11 11:51:03.393739,3,4
65,성북구 석관동,37.6125,127.0611,2025-01-30 04:16:53.010433,2,2
66,강북구 수유1동,37.6399,127.019,2025-02-17 03:49:31.034395,2,3
67,동대문구 용두동,37.5749,127.0389,2024-12-30 13:37:29.268931,2,2
68,성북구 석관동,37.6125,127.0611,2024-12-19 06:09:15.742135,2,3
69,서대문구 남가좌동,37.5738,126.9223,2024-12-13 21:34:46.662316,2,2
70,관악구 신림동,37.4846,126.9304,2025-01-16 10:41:35.075847,1,1
71,동작구 동작동,37.5035,126.951,2025-02-15 16:48:11.654651,2,2
72,중구 신당동,37.561,127.0182,2024-12-12 20:36:48.282018,2,3
73,강남구 역삼동,37.4987,127.0367,2024-12-29 02:45:07.540014,3,4
74,양천구 신월동,37.5302,126.8348,2025-01-05 01:34:14.390574,1,2
75,강남구 논현동,37.5101,127.0359,2025-02-14 07:26:12.869027,2,3
76,영등포구 당산동,37.5341,126.9021,2024-12-23 19:50:19.941556,3,3
77,용산구 한남동,37.5345,127.0005,2024-12-16 05:13:19.373208,3,4
78,성동구 금호동1가,37.5497,127.0197,2025-02-17 07:18:55.608905,2,3
79,중랑구 묵동,37.6121,127.0761,2024-12-22 05:22:39.929352,2,2
80,강동구 암사동,37.5506,127.1319,2024-12-28 11:29:58.791559,1,1
81,성북구 돈암동,37.5891,127.0166,2025-02-03 03:25:48.866890,1,2
82,금천구 가산동,37.4772,126.8868,2024-12-18 18:46:07.700448,1,2
83,도봉구 쌍문동,37.6486,127.0347,2024-12-07 06:52:17.083370,1,1
84,양천구 신월동,37.5302,126.8348,2025-01-08 17:54:12.948841,3,3
85,도봉구 쌍문1동,37.6513,127.0341,2025-01-21 13:44:22.200077,3,3
86,노원구 월계동,37.6311,127.0587,2025-01-10 11:41:20.318347,3,3
87,강북구 수유1동,37.6399,127.019,2024-12-04 04:17:17.424632,3,4
88,은평구 녹번동,37.6009,126.9351,2024-12-14 20:07:13.879497,2,2
89,동대문구 청량리동,37.5802,127.0466,2025-01-30 18:10:22.860612,2,2
90,마포구 망원동,37.5551,126.9107,2025-02-22 04:18:28.215285,2,2
91,중구 소공동,37.5641,126.9753,2025-02-15 00:16:21.381437,3,3
92,송파구 방이동,37.514,127.1251,2025-01-02 04:53:59.449639,3,3
93,은평구 갈현동,37.6185,126.9162,2025-01-03 00:31:50.760245,3,4
94,강동구 둔촌동,37.5266,127.1365,2024-12-18 11:34:54.469115,1,2
95,성동구 성수동1가,37.5477,127.0422,2025-01-27 01:46:19.412220,3,3
96,동대문구 장안동,37.5746,127.0727,2025-02-19 03:13:13.516689,2,2
97,종로구 무악동,37.5775,126.9573,2024-12-02 21:32:43.483763,3,3
98,강동구 암사동,37.5506,127.1319,2025-01-08 14:50:13.399487,1,1
99,중랑구 면목동,37.5873,127.0887,2025-02-02 14:33:22.826293,2,2
100,중랑구 면목동,37.5873,127.0887,2025-01-06 15:11:55.336910,3,4
101,종로구 혜화동,37.5823,127.0018,2025-01-26 11:38:08.646827,3,4
102,동작구 동작동,37.5035,126.951,2025-02-11 01:16:58.409233,1,1
103,강서구 가양동,37.5618,126.8545,2025-01-18 03:21:19.033310,1,2
104,성북구 석관동,37.6125,127.0611,2024-12-14 01:07:28.032538,3,4
105,은평구 진관동,37.643,126.9184,2025-01-29 19:16:09.357450,2,3
106,중랑구 상봉동,37.5963,127.0862,2025-01-29 15:58:30.657456,1,2
107,중랑구 면목동,37.5873,127.0887,2025-02-22 08:44:52.032330,3,3
108,송파구 잠실동,37.5117,127.0842,2025-01-26 04:20:03.610842,2,2
109,은평구 녹번동,37.6009,126.9351,2025-01-12 23:16:08.881689,2,3
110,중랑구 면목동,37.5873,127.0887,2024-12-14 13:04:45.155021,3,3
111,금천구 시흥동,37.4494,126.9034,2025-02-22 17:54:18.844697,1,2
112,마포구 망원동,37.5551,126.9107,2025-02-17 04:03:06.110734,2,2
113,중랑구 상봉동,37.5963,127.0862,2025-01-29 03:08:49.289941,3,3
114,서대문구 남가좌동,37.5738,126.9223,2025-02-27 23:39:14.905587,1,1
115,양천구 신월동,37.5302,126.8348,2024-12-08 11:07:58.796072,1,2
